station_id,station_name,lat,lon,total_departures,total_arrivals,mean_departures,mean_arrivals,mean_net_flow,std_net_flow
44,"Bruton Street, Mayfair",51.510736,-0.144165,1213,1638,0.8022486772486772,1.0833333333333333,-0.2810846560846561,2.8020436690870016
45,"Boston Place, Marylebone",51.522511,-0.162298,4081,3739,2.699074074074074,2.4728835978835977,0.2261904761904762,4.595961371100485
46,"Nesham Street, Wapping",51.507131,-0.06691,3744,3680,2.4761904761904763,2.433862433862434,0.042328042328042326,2.0822420534335953
47,"Warwick Avenue Station, Maida Vale",51.523344,-0.183846,1878,1787,1.242063492063492,1.181878306878307,0.06018518518518518,2.0291592329548065
48,"Godliman Street, St. Paul's",51.512484,-0.099141,3366,3716,2.2261904761904763,2.4576719576719577,-0.23148148148148148,3.9053139213482355
49,"Curzon Street, Mayfair",51.507069,-0.145904,964,1120,0.6375661375661376,0.7407407407407407,-0.10317460317460317,2.021706292915599
50,"East Road, Hoxton",51.528673,-0.087459,1671,1509,1.1051587301587302,0.998015873015873,0.10714285714285714,1.6128707295277411
51,"Finsbury Library , Finsbury",51.526717,-0.104298,1659,1544,1.0972222222222223,1.0211640211640212,0.07605820105820106,1.6347996893829384
52,"Roscoe Street, St. Luke's",51.522954,-0.094934,1461,1494,0.9662698412698413,0.9880952380952381,-0.021825396825396824,1.612796232908759
53,"Grafton Street, Mayfair",51.509992,-0.143495,916,1212,0.6058201058201058,0.8015873015873016,-0.19576719576719576,2.5787469330229085
54,"Golden Lane, Barbican",51.521747,-0.094475,2206,2275,1.458994708994709,1.5046296296296295,-0.04563492063492063,2.5717823239839817
55,"Finsbury Circus, Liverpool Street",51.517075,-0.086685,5609,6351,3.7096560846560847,4.200396825396825,-0.49074074074074076,3.79137185937
56,"Paddington Street, Marylebone",51.520583,-0.154701,1431,1374,0.9464285714285714,0.9087301587301587,0.037698412698412696,1.3605122226301396
57,"Guilford Street , Bloomsbury",51.523346,-0.120202,2357,2432,1.558862433862434,1.6084656084656084,-0.0496031746031746,2.8871654833182068
58,"New Inn Yard, Shoreditch",51.524526,-0.079248,2233,2387,1.4768518518518519,1.5787037037037037,-0.10185185185185185,2.0328726035782703
60,"Lisson Grove, St. John's Wood",51.526448,-0.17219,754,501,0.49867724867724866,0.33134920634920634,0.16732804232804233,0.9468558878362894
61,"Great Dover Street, The Borough",51.497382,-0.089446,1965,1636,1.2996031746031746,1.082010582010582,0.2175925925925926,2.874085131914345
62,"Cotton Garden Estate, Kennington",51.490757,-0.106323,867,732,0.5734126984126984,0.48412698412698413,0.08928571428571429,1.4073990045549
63,"Murray Grove , Hoxton",51.53089,-0.089782,1200,837,0.7936507936507936,0.5535714285714286,0.2400793650793651,1.5853922826621427
64,"William IV Street, Strand",51.509462,-0.124749,3560,4761,2.3544973544973544,3.1488095238095237,-0.7943121693121693,2.7646524495041627
65,"Gower Place , Euston",51.525227,-0.135188,1702,1591,1.1256613756613756,1.0522486772486772,0.07341269841269842,1.5797467293752083
66,"Holborn Circus, Holborn",51.51795,-0.108657,4629,7381,3.0615079365079363,4.881613756613756,-1.82010582010582,14.397336616309548
67,"Hatton Garden, Holborn",51.518825,-0.108028,2534,2380,1.6759259259259258,1.5740740740740742,0.10185185185185185,4.334943729454243
68,"Theobald's Road , Holborn",51.520596,-0.116688,2474,2527,1.6362433862433863,1.6712962962962963,-0.03505291005291005,3.731663060406778
69,"Euston Road, Euston",51.526236,-0.134407,1428,1399,0.9444444444444444,0.9252645502645502,0.01917989417989418,2.667355884455746
70,"Calshot Street , King's Cross",51.53136,-0.117069,863,634,0.5707671957671958,0.4193121693121693,0.15145502645502645,1.2105636951114038
71,"Newgate Street , St. Paul's",51.515768,-0.099894,4471,5674,2.957010582010582,3.752645502645503,-0.7956349206349206,9.055964362218186
72,"Farringdon Lane, Clerkenwell",51.52352,-0.10834,1850,1907,1.2235449735449735,1.2612433862433863,-0.037698412698412696,2.136142479464311
73,"Old Street Station, St. Luke's",51.525615,-0.088532,4945,5239,3.2705026455026456,3.4649470899470898,-0.19444444444444445,3.758672595201325
74,"Vauxhall Cross, Vauxhall",51.485917,-0.124469,3642,3666,2.4087301587301586,2.4246031746031744,-0.015873015873015872,2.2908356322219494
75,"Torrens Street, Angel",51.532199,-0.10548,2002,1771,1.3240740740740742,1.1712962962962963,0.1527777777777778,1.7287440943743244
76,"Longford Street, The Regent's Park",51.525595,-0.144083,717,623,0.4742063492063492,0.41203703703703703,0.062169312169312166,1.0109120337976134
77,"Russell Square Station, Bloomsbury",51.523418,-0.124121,2093,2088,1.3842592592592593,1.380952380952381,0.0033068783068783067,1.7529371146358734
78,"Sadlers Sports Centre, Finsbury",51.524868,-0.099489,2465,2449,1.6302910052910053,1.6197089947089947,0.010582010582010581,2.3394624394320522
79,"Arundel Street, Temple",51.511726,-0.113855,15,19,0.00992063492063492,0.012566137566137565,-0.0026455026455026454,0.16268230213865212
80,"Webber Street , Southwark",51.500693,-0.102091,1671,1449,1.1051587301587302,0.9583333333333334,0.14682539682539683,1.8571422510865598
81,"Great Titchfield Street, Fitzrovia",51.520253,-0.141327,2483,2634,1.6421957671957672,1.742063492063492,-0.09986772486772487,2.2989538053866503
82,,,,1226,1278,0.8108465608465608,0.8452380952380952,-0.03439153439153439,2.0753846557604065
83,"Panton Street, West End",51.509639,-0.13151,1901,2064,1.2572751322751323,1.3650793650793651,-0.1078042328042328,2.2200917442262478
